Codigo_asignatura,Nombre,Créditos,Curso,Cuatrimestre,Tipo de asignatura,Semana,Actividad,Tipo de actividad
13892,Dirección de proyectos de desarrollo de software,6.0,4o,1erCuatrimestre,Obligatoria,8,"Entregable 4: Tema 5 casos de uso de alto nivel y priorización de los mismosEntregable 5: Tema 8 estimación",Otros
13892,Dirección de proyectos de desarrollo de software,6.0,4o,1erCuatrimestre,Obligatoria,10,Entregable 6: Tema 9 planificación,Otros
13892,Dirección de proyectos de desarrollo de software,6.0,4o,1erCuatrimestre,Obligatoria,14,"Entregable 7: Tema 10 análisis y Tema 11 Diseño (iteración 1)Entregable 8: Tema 10 análisis y Tema 11 Diseño (iteración 2) y actualización de la ejecución de los planes de Gestión de laconfiguración y Gestión de la calidad",Otros
15754,Sistemas Distribuidos,6.0,3o,2oCuatrimestre,Obligatoria,7,Entrega de ejercicio 1,Ejercicio
15754,Sistemas Distribuidos,6.0,3o,2oCuatrimestre,Obligatoria,10,Entrega de ejercicio 2,Ejercicio
15754,Sistemas Distribuidos,6.0,3o,2oCuatrimestre,Obligatoria,12,Entrega de ejercicio 3,Ejercicio
15754,Sistemas Distribuidos,6.0,3o,2oCuatrimestre,Obligatoria,14,Entrega de ejercicio 4 y proyecto final,Ejercicio
15970,Lógica,6.0,1,2oCuatrimestre,Formación Básica,6,"Validación I. Examen de evaluación continua.Validation I. Midterm I.",Examen
15970,Lógica,6.0,1,2oCuatrimestre,Formación Básica,14,"Validación II. Examen de evaluación continua.Validation II. Midterm II.",Examen
15971,Matemática Discreta,6.0,1,2oCuatrimestre,Formación Básica,8,Primer control / First mid-term exam,Examen
15971,Matemática Discreta,6.0,1,2oCuatrimestre,Formación Básica,13,Segundo control / Second mid-term exam,Examen
15973,Criptografía y seguridad informática,6.0,3o,1erCuatrimestre,Obligatoria,8,Prueba de evaluación continua/ Continuous assessment,Examen
15973,Criptografía y seguridad informática,6.0,3o,1erCuatrimestre,Obligatoria,9,Prueba de evaluación continua/ Continuous assessment,Examen
15973,Criptografía y seguridad informática,6.0,3o,1erCuatrimestre,Obligatoria,12,Prueba de evaluación continua/ Continuous assessment,Examen
15973,Criptografía y seguridad informática,6.0,3o,1erCuatrimestre,Obligatoria,13,Prueba de evaluación continua/ Continuous assessment,Examen
15973,Criptografía y seguridad informática,6.0,3o,1erCuatrimestre,Obligatoria,14,Prueba de evaluación continua/ Continuous assessment,Examen
15973,Criptografía y seguridad informática,6.0,3o,1erCuatrimestre,Obligatoria,15,Prueba de evaluación continua/ Continuous assessment,Examen
15974,Ingeniería del Software,6.0,2o,1erCuatrimestre,Formación Básica,5,"Examen individual teórico parcial del bloque I: Ingeniería de requisitos /Individual theoretical mid-term exam block I: Requirements engineering",Examen
15974,Ingeniería del Software,6.0,2o,1erCuatrimestre,Formación Básica,6,"1a Entrega del proyecto final en grupo (y presentación) /1st final project delivery (and presentation)",Práctica
15974,Ingeniería del Software,6.0,2o,1erCuatrimestre,Formación Básica,10,"Examen individual teórico parcial del bloque II: Modelado conceptual /Individual theoretical mid-term exam block II: Conceptual modelling",Examen
15974,Ingeniería del Software,6.0,2o,1erCuatrimestre,Formación Básica,13,"2a Entrega del proyecto final en grupo (y presentación) /2nd final project delivery (and presentation)",Práctica
15974,Ingeniería del Software,6.0,2o,1erCuatrimestre,Formación Básica,13,"Examen individual teórico parcial del bloque III: Modelado arquitectónico /Individual theoretical mid-term exam block III: Architectural modelling",Examen
15974,Ingeniería del Software,6.0,2o,1erCuatrimestre,Formación Básica,14,"Entrega de dos ejercicios individuales prácticos /Delivery of the individual practical exercises",Ejercicio
15976,Heurística y Optimización,6.0,3o,1erCuatrimestre,Obligatoria,6,Evaluación de un problema / Evaluation of a problem,Otros
15976,Heurística y Optimización,6.0,3o,1erCuatrimestre,Obligatoria,7,Evaluación de un test / Evaluation of a test,Examen
15976,Heurística y Optimización,6.0,3o,1erCuatrimestre,Obligatoria,8,Entrega primera práctica / First lab assignment,Práctica
15976,Heurística y Optimización,6.0,3o,1erCuatrimestre,Obligatoria,13,Evaluación de un problema / Evaluation of a problem,Otros
15976,Heurística y Optimización,6.0,3o,1erCuatrimestre,Obligatoria,14,Evaluación de un test / Evaluation of a test,Examen
15976,Heurística y Optimización,6.0,3o,1erCuatrimestre,Obligatoria,15,Entrega segunda práctica / Second lab assignment,Práctica
